Occupation Name,Exposure Score
Accountants and Auditors,0.000138514711535683
Actors,0.0001678564768482738
Actuaries,9.151892420470037e-05
Acupuncturists,0.00016854237203458463
Acute Care Nurses,0.00011633181094922584
Adapted Physical Education Specialists,0.0001281653106604795
Adhesive Bonding Machine Operators and Tenders,0.00015127202436394387
"Administrative Law Judges, Adjudicators, and Hearing Officers",9.434172008486692e-05
Administrative Services Managers,8.250110885396336e-05
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.00013312125886284085
Advanced Practice Psychiatric Nurses,0.0001338254264545905
Advertising and Promotions Managers,0.00010879499314413882
Advertising Sales Agents,0.0001449913345296439
Aerospace Engineering and Operations Technologists and Technicians,0.0001414160771620597
Aerospace Engineers,5.51394486627447e-05
"Agents and Business Managers of Artists, Performers, and Athletes",7.1692778678123e-05
Agricultural Engineers,0.0001476255731745025
Agricultural Equipment Operators,0.00013244520668330366
Agricultural Inspectors,6.942273049918904e-05
"Agricultural Sciences Teachers, Postsecondary",8.296550057403237e-05
Agricultural Technicians,0.00011301894718081925
Air Traffic Controllers,0.00010731398098091525
Aircraft Cargo Handling Supervisors,0.00016210380083345034
Aircraft Mechanics and Service Technicians,0.00016321402018882578
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.0001801019264948274
Airfield Operations Specialists,0.00013393798152596542
"Airline Pilots, Copilots, and Flight Engineers",0.00016667875040327144
Allergists and Immunologists,6.65377756245788e-05
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",6.62934210612557e-05
Amusement and Recreation Attendants,0.0001389291777599254
Anesthesiologist Assistants,0.00012559085996639646
Anesthesiologists,0.00016437996859687063
Animal Breeders,5.634597583647039e-05
Animal Caretakers,8.748906112657491e-05
Animal Control Workers,4.2193313889844354e-05
Animal Scientists,0.00014622288818135273
Animal Trainers,0.00015076635269387694
Anthropologists and Archeologists,0.00015629152376131047
"Anthropology and Archeology Teachers, Postsecondary",7.785582137111649e-05
Appraisers and Assessors of Real Estate,0.00013140808665214546
"Arbitrators, Mediators, and Conciliators",0.00012949797669623063
"Architects, Except Landscape and Naval",0.00014549112815411377
Architectural and Civil Drafters,0.00016152765209622182
Architectural and Engineering Managers,6.86436550527463e-05
"Architecture Teachers, Postsecondary",8.615877081366775e-05
Archivists,8.378110176060925e-05
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",8.015886579922508e-05
Art Directors,5.524672474150437e-05
Art Therapists,0.00011864922590352925
"Art, Drama, and Music Teachers, Postsecondary",7.075735880917793e-05
Astronomers,0.00016263435679219804
Athletes and Sports Competitors,6.590774559352075e-05
Athletic Trainers,0.00012622074574977996
Atmospheric and Space Scientists,0.00016789531568292754
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",6.746488252751133e-05
Audio and Video Technicians,0.00016314807206720732
Audiologists,0.00013075598563253105
Audiovisual Equipment Installers and Repairers,0.00021030459389450226
Automotive and Watercraft Service Attendants,0.00012345527083291088
Automotive Body and Related Repairers,0.00015219190699364635
Automotive Engineering Technicians,0.00013925464986338446
Automotive Engineers,0.00010073582715017007
Automotive Glass Installers and Repairers,0.00020530686239599567
Automotive Service Technicians and Mechanics,0.00016954868400553596
Aviation Inspectors,0.00013894232312560055
Avionics Technicians,0.00019777851037739433
Baggage Porters and Bellhops,0.00010153828647870671
Bailiffs,0.0001531886075169759
Bakers,0.00015783741790239406
Barbers,0.0001599447650369627
Baristas,0.0001527170869970033
Bartenders,4.6730692087416275e-05
Bicycle Repairers,0.0001817212861546442
Bill and Account Collectors,0.00016368616505631363
Billing and Posting Clerks,0.00013865798954990505
Biochemists and Biophysicists,0.00012829318557375807
Bioengineers and Biomedical Engineers,0.0001531258268641396
Biofuels Processing Technicians,7.284440264468044e-05
Biofuels Production Managers,7.598566083531531e-05
Biofuels/Biodiesel Technology and Product Development Managers,9.589338291734083e-05
Bioinformatics Scientists,6.716475450950405e-05
Bioinformatics Technicians,0.0001253146116951494
"Biological Science Teachers, Postsecondary",9.050803703415381e-05
Biological Technicians,0.00014263768114333898
Biologists,0.00015610457529593004
Biomass Plant Technicians,0.00014843832717858073
Biomass Power Plant Managers,0.00014404295292897332
Biostatisticians,0.0001598695627728503
Boilermakers,0.00016405099453071535
"Bookkeeping, Accounting, and Auditing Clerks",0.00016063105009151514
Brickmasons and Blockmasons,0.0001386368329929797
Bridge and Lock Tenders,0.00017811989171448165
Broadcast Announcers and Radio Disc Jockeys,0.00012960899604057713
Broadcast Technicians,0.00017537175515370946
Brokerage Clerks,0.00014347918548066906
Brownfield Redevelopment Specialists and Site Managers,7.660862885609493e-05
Budget Analysts,7.662846855533635e-05
Bus and Truck Mechanics and Diesel Engine Specialists,0.00013653400192662594
"Bus Drivers, Transit and Intercity",8.081962980863034e-05
Business Continuity Planners,0.00010884043772710769
Business Intelligence Analysts,0.00013297235377726546
"Business Teachers, Postsecondary",8.706203159332975e-05
Butchers and Meat Cutters,0.0001007111390873069
"Buyers and Purchasing Agents, Farm Products",5.995666767009718e-05
Cabinetmakers and Bench Carpenters,0.00018254865536887287
Camera and Photographic Equipment Repairers,0.00018635474002648712
"Camera Operators, Television, Video, and Film",0.00011081335330702396
"Captains, Mates, and Pilots of Water Vessels",0.00015360169562496614
Cardiovascular Technologists and Technicians,0.0001496813720346755
"Career/Technical Education Teachers, Middle School",0.00014933048543704184
"Career/Technical Education Teachers, Postsecondary",0.0001222549797930293
"Career/Technical Education Teachers, Secondary School",0.00014859697496937157
Cargo and Freight Agents,0.00018198078653531378
Carpenters,0.00017360919311007535
Carpet Installers,0.0001394930279610185
Cartographers and Photogrammetrists,0.0001708173138526724
Cashiers,0.00015304792686728083
Cement Masons and Concrete Finishers,0.00015998773606946913
Chefs and Head Cooks,5.370359297464602e-05
Chemical Engineers,0.00012969592264063627
Chemical Equipment Operators and Tenders,0.0001420948381881404
Chemical Plant and System Operators,5.3581155185508006e-05
Chemical Technicians,0.00012718350212722235
"Chemistry Teachers, Postsecondary",6.939591893456907e-05
Chemists,0.00012026175444076204
Chief Executives,5.840374446191628e-05
Chief Sustainability Officers,4.0568461334813865e-05
"Child, Family, and School Social Workers",7.743667518118335e-05
Childcare Workers,5.512695437874235e-05
Chiropractors,0.0001535819048587038
Choreographers,0.00015903847367097602
Civil Engineering Technologists and Technicians,0.000160524886905232
Civil Engineers,0.00012081801650793221
"Claims Adjusters, Examiners, and Investigators",0.00012613951719414945
Cleaners of Vehicles and Equipment,0.00016437258351458456
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.00017559529996725615
Clergy,3.795190889916188e-05
Climate Change Policy Analysts,0.00013452496962657122
Clinical and Counseling Psychologists,0.00014550478408747932
Clinical Data Managers,0.0001270611275264508
Clinical Neuropsychologists,0.00014531761151894708
Clinical Nurse Specialists,7.032201843574831e-05
Clinical Research Coordinators,8.215887113255886e-05
Coaches and Scouts,0.00013543682146215674
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.0001689320313826473
"Coil Winders, Tapers, and Finishers",0.00019430880516816396
"Coin, Vending, and Amusement Machine Servicers and Repairers",0.00017824819697626542
Commercial and Industrial Designers,0.00016526053399273675
Commercial Divers,0.0001671975071249172
Commercial Pilots,0.00014356963497855828
"Communications Teachers, Postsecondary",7.454292638444853e-05
Community Health Workers,9.736983134664769e-05
Compensation and Benefits Managers,7.954052061981173e-05
"Compensation, Benefits, and Job Analysis Specialists",8.199528113066123e-05
Compliance Managers,7.825382687621444e-05
Compliance Officers,8.254623220065003e-05
Computer and Information Research Scientists,6.690708566629864e-05
Computer and Information Systems Managers,0.0001318234355442758
Computer Hardware Engineers,0.0001150787805045108
Computer Network Architects,0.00010861093188580061
Computer Network Support Specialists,0.00014771611885678994
Computer Numerically Controlled Tool Operators,0.00017446107754965994
Computer Numerically Controlled Tool Programmers,0.00014219012572701042
Computer Programmers,0.00013060304236350208
"Computer Science Teachers, Postsecondary",7.70381519639126e-05
Computer Systems Analysts,0.00015685007436220898
Computer Systems Engineers/Architects,0.000104471291273359
Computer User Support Specialists,7.194746177755338e-05
"Computer, Automated Teller, and Office Machine Repairers",0.00017626266540938726
Concierges,9.093483661671809e-05
Conservation Scientists,0.00011962574385179531
Construction and Building Inspectors,0.00015644730376281223
Construction Laborers,0.00013136684598977634
Construction Managers,0.00012312449479863095
Continuous Mining Machine Operators,0.00015885603028350194
"Control and Valve Installers and Repairers, Except Mechanical Door",0.00018894252641373985
Conveyor Operators and Tenders,0.00015109587109590598
"Cooks, Fast Food",0.0001660468935774844
"Cooks, Institution and Cafeteria",0.0001705828727749904
"Cooks, Private Household",9.43297682834292e-05
"Cooks, Restaurant",0.0001621593480811447
Cooling and Freezing Equipment Operators and Tenders,0.00016023433543951737
Coroners,0.0001341960320803524
Correctional Officers and Jailers,0.00015229896134592941
Correspondence Clerks,7.673395000585438e-05
Cost Estimators,4.477661457089578e-05
Costume Attendants,5.095724668615548e-05
Counter and Rental Clerks,0.0001017636356590839
Couriers and Messengers,0.00016334452892884446
Court Reporters and Simultaneous Captioners,0.00017176757045837086
"Court, Municipal, and License Clerks",9.997367174307595e-05
Craft Artists,0.00018530875631702707
Crane and Tower Operators,0.00017268034885513988
Credit Analysts,0.00015490380336956097
"Credit Authorizers, Checkers, and Clerks",0.00010484033913583585
Credit Counselors,0.00016161465044280227
"Criminal Justice and Law Enforcement Teachers, Postsecondary",8.33029369491709e-05
Critical Care Nurses,7.213455701787797e-05
Crossing Guards and Flaggers,9.562368980490985e-05
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.00018567191714772858
Curators,0.00014943125896554912
Customer Service Representatives,0.00013753009507862566
Customs and Border Protection Officers,5.165159925286673e-05
Customs Brokers,0.00016458436819297227
"Cutters and Trimmers, Hand",0.00014347555915752538
"Cutting and Slicing Machine Setters, Operators, and Tenders",0.00015941457030684063
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.00017292386289478792
Cytogenetic Technologists,0.00016109568781926938
Cytotechnologists,0.00013772478827064612
Dancers,4.435141216426947e-05
Data Entry Keyers,0.00017767353416070652
Data Warehousing Specialists,0.00013822577420340094
Database Administrators,7.701968642465184e-05
Database Architects,0.0001418326894541027
Demonstrators and Product Promoters,0.00015609804045576354
Dental Assistants,0.0001566385917212424
Dental Hygienists,0.0001544887124813107
Dental Laboratory Technicians,0.00015941994774898075
"Dentists, General",0.00016869911071122566
Dermatologists,7.959601967204404e-05
"Derrick Operators, Oil and Gas",0.00013553664602094728
Desktop Publishers,0.00016883489866983728
Detectives and Criminal Investigators,0.00014745958527323362
Diagnostic Medical Sonographers,0.00012426085654109497
Dietetic Technicians,7.254277482447776e-05
Dietitians and Nutritionists,7.331475625868339e-05
Dining Room and Cafeteria Attendants and Bartender Helpers,7.732235281930627e-05
"Directors, Religious Activities and Education",7.47779468316167e-05
Dishwashers,0.00016664903763647518
"Dispatchers, Except Police, Fire, and Ambulance",0.00017632280991095915
Document Management Specialists,0.00010438362588526132
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.00016932246936360692
Dredge Operators,6.252499636606466e-05
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.00016822921990573665
Driver/Sales Workers,4.177995029501687e-05
Drywall and Ceiling Tile Installers,0.0001595276948186424
"Earth Drillers, Except Oil and Gas",0.00016156996192068728
"Economics Teachers, Postsecondary",8.488188674361715e-05
Economists,9.73995896793169e-05
Editors,0.0001569287849983902
"Education Administrators, Kindergarten through Secondary",0.00010811761514884076
"Education Administrators, Postsecondary",0.00014183493288900988
"Education and Childcare Administrators, Preschool and Daycare",7.257936765382515e-05
"Education Teachers, Postsecondary",8.11826907288566e-05
"Educational, Guidance, and Career Counselors and Advisors",9.596439325986265e-05
"Electric Motor, Power Tool, and Related Repairers",0.00018353819033537533
Electrical and Electronic Engineering Technologists and Technicians,0.0001595863030782383
Electrical and Electronic Equipment Assemblers,0.00012769456331258744
Electrical and Electronics Drafters,0.0001512503632046989
"Electrical and Electronics Installers and Repairers, Transportation Equipment",0.00018980720450204646
"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.00014334743682640677
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.00012422593516789136
Electrical Engineers,6.822661954253207e-05
Electrical Power-Line Installers and Repairers,0.0001546264838522237
Electricians,0.00018164576389274748
Electro-Mechanical and Mechatronics Technologists and Technicians,0.00017242442753283567
Electromechanical Equipment Assemblers,0.0001726870230367885
"Electronic Equipment Installers and Repairers, Motor Vehicles",0.00016002291780238122
"Electronics Engineers, Except Computer",7.403991221249773e-05
"Elementary School Teachers, Except Special Education",0.00014190286151957281
Elevator and Escalator Installers and Repairers,0.00018236789196126105
"Eligibility Interviewers, Government Programs",9.510902408295046e-05
Embalmers,0.00015272488612383584
Emergency Management Directors,7.712162937855598e-05
Endoscopy Technicians,0.0001679081653431556
Energy Auditors,0.00011683532143255467
"Energy Engineers, Except Wind and Solar",0.00015597040271042654
Engine and Other Machine Assemblers,0.00017062537254834627
"Engineering Teachers, Postsecondary",8.197000594260432e-05
"English Language and Literature Teachers, Postsecondary",0.00015153489841070696
Environmental Compliance Inspectors,6.386063830314085e-05
Environmental Economists,8.063546974376021e-05
Environmental Engineering Technologists and Technicians,7.104632209598045e-05
Environmental Engineers,8.022255207896355e-05
Environmental Restoration Planners,0.00015435967555773886
"Environmental Science and Protection Technicians, Including Health",0.00012964825266018848
"Environmental Science Teachers, Postsecondary",7.895912351342514e-05
"Environmental Scientists and Specialists, Including Health",0.0001335965777587251
Epidemiologists,8.233301989874061e-05
Equal Opportunity Representatives and Officers,8.371230597475533e-05
Etchers and Engravers,0.00016973649342132748
"Excavating and Loading Machine and Dragline Operators, Surface Mining",6.450379485449153e-05
Executive Secretaries and Executive Administrative Assistants,0.0001264195299135315
Exercise Physiologists,0.0001398075940495177
Exercise Trainers and Group Fitness Instructors,0.00015493884330674895
"Explosives Workers, Ordnance Handling Experts, and Blasters",0.00016729717784581426
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.00011224919944616672
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.0001773377023493887
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.0001541356753937618
Fabric and Apparel Patternmakers,0.00014727902966474613
Facilities Managers,6.572773442572067e-05
Fallers,0.00012549462099138614
"Family and Consumer Sciences Teachers, Postsecondary",7.880702731962639e-05
Family Medicine Physicians,8.489464963581703e-05
Farm and Home Management Educators,8.766296683087666e-05
Farm Equipment Mechanics and Service Technicians,0.00019969210398676474
Farm Labor Contractors,9.321190734532209e-05
"Farmers, Ranchers, and Other Agricultural Managers",0.00011626065143600486
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.0001262777633036364
"Farmworkers, Farm, Ranch, and Aquacultural Animals",0.00015565122719047672
Fashion Designers,0.0001540994157043855
Fast Food and Counter Workers,0.00017094179407387813
Fence Erectors,0.00015186266359188948
Fiberglass Laminators and Fabricators,0.00014598792587841892
File Clerks,8.407404008152941e-05
Film and Video Editors,0.00015367062901617648
Financial Examiners,7.122745257887713e-05
Financial Managers,8.698639336491143e-05
Financial Quantitative Analysts,0.00011719613641099321
"Fine Artists, Including Painters, Sculptors, and Illustrators",0.00014729770564142204
Fire Inspectors and Investigators,0.00015185251412385903
Fire-Prevention and Protection Engineers,7.208560671343309e-05
Firefighters,0.00016360386777006656
First-Line Supervisors of Construction Trades and Extraction Workers,0.00013944070781170932
First-Line Supervisors of Correctional Officers,8.7925282672499e-05
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6.514330329843797e-05
First-Line Supervisors of Firefighting and Prevention Workers,8.748010101377858e-05
First-Line Supervisors of Food Preparation and Serving Workers,8.142711684118098e-05
First-Line Supervisors of Gambling Services Workers,7.542796111051573e-05
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",7.717159944244415e-05
First-Line Supervisors of Housekeeping and Janitorial Workers,6.339890971358222e-05
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.0001317126961638621
